url,name,region,length,elevation,hp,currentrating,ratingcount,features,excerpt
https://www.wta.org/go-hiking/hikes/kelly-butte,Kelly Butte,Mount Rainier Area -- Chinook Pass - Hwy 410,"3.4 miles, roundtrip",1100,5409.0,3.95,"
                      (19 votes)
                    ","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Summits', 'Dogs allowed on leash', 'Fall foliage']","
            This is a nice, short hike to a recently repaired fire lookout. Guidebooks do not include recent upgrades to the trail and road to the trailhead. The trail is no longer only accessible via a scramble, but trail that switchbacks through wildflowers and interesting rock walls which was constructed in 2007. The lookout itself has been repaired, making it a nice lunch stop.
        "
https://www.wta.org/go-hiking/hikes/little-si,Little Si,Snoqualmie Region -- North Bend Area,"3.7 miles, roundtrip",1300,1550.0,3.58,"
                      (145 votes)
                    ","['Mountain views', 'Dogs allowed on leash', 'Good for kids']","
            Companion piece to neighbor and big brother Mount Si, the small rocky bluff known as Little Si is a moderate grade 4.7 mile trail located in the hike rich North Bend area. Although relatively steep inclines bookend this hike, this primarily North/South route is perfect for beginners who are looking to get back in shape, while still accommodating veterans with opportunities to cut away on the Boulder Garden Loop (at .3 miles and .5 miles) to merge with the more challenging Mount Si trail. Expect crowds, even in winter, as New Year’s resolutions (the two Si mountains are sometimes colloquially referred to as the “Resolution Peaks” for the deluge of hikers that appear after January 1st), proximity to the city and a degree of refuge from the elements often divert heavy foot traffic to this mini-mountain to keep it busy year round.
        "
https://www.wta.org/go-hiking/hikes/45-mile-sheep-drive,45 Mile Sheep Drive,Central Cascades -- Entiat Mountains/Lake Chelan,"4.9 miles, one-way",,3144.0,4.00,"
                      (5 votes)
                    ","['Wildflowers/Meadows', 'Ridges/passes', 'Dogs allowed on leash']","
            Found within the Glacier Peak Wilderness, the 45 Mile Sheep Drive trail begins at the Entiat River Trail, and ends at Emerald Park Trail. It's a 4.9-mile, rugged, primitive trail. As such, it is not regularly maintained and not recommended for stock. It was burned in the 2006 Tinpan Fire and there may be blowdown from this incident. Hikers will find it very steep and some routefinding may be required. 
        "
https://www.wta.org/go-hiking/hikes/lemah-meadow,Lemah Meadow,Snoqualmie Region -- Salmon La Sac/Teanaway,"1.0 miles, one-way",200,3250.0,3.00,"
                      (4 votes)
                    ","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Rivers']","
            Lemah Meadow is a marshy clearing set at the foot of Lemah Mountain. Although the meadow lies along the Pacific Crest Trail, it is most easily reached by the Pete Lake Trail. A couple of scenic campsites make this a fun alternative to staying at the busy shores of Pete Lake.
        "
https://www.wta.org/go-hiking/hikes/red-top-lookout,Red Top Lookout,Snoqualmie Region -- Salmon La Sac/Teanaway,"1.5 miles, roundtrip",350,5360.0,3.28,"
                      (18 votes)
                    ","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Old growth', 'Summits', 'Good for kids']","
            Red Top Lookout, built in 1952, restored in 1997, and still operational today, provides a fine bang for your hiking buck. A short, steep trail leads to the functioning fire lookout as well as magnificent 360 degree views of the Stuart Range, Teanaway Ridge, Chelan and Entiat Mountains, Mount Rainier, and even Mount Adams on a clear day.
        "
https://www.wta.org/go-hiking/hikes/iron-horse-tunnel,Palouse to Cascades Trail - The Tunnel,Snoqualmie Region -- Snoqualmie Pass,"5.3 miles, roundtrip",,1100.0,3.57,"
                      (14 votes)
                    ","['Dogs allowed on leash', 'Good for kids']","
            Washington State has a plethora of amazingly beautiful trails for the avid hiker to tread, but how many take you through an old train tunnel more than two miles long? The Snoqualmie Tunnel is part of the 110-mile Palouse to Cascades Trail (formerly the John Wayne Trail). This section is in Iron Horse State Park and is a must do for everyone! Views for most of your trip will be determined by the power of your headlamp, but there will be some sights on the other side. The attraction of this hike is the mysterious, dramatic tunnel itself. However, note that the tunnel is closed November 1st through May 1st, so plan your trip accordingly.
        "
https://www.wta.org/go-hiking/hikes/koppen-mountain,Koppen Mountain,Snoqualmie Region -- Salmon La Sac/Teanaway,"7.0 miles, roundtrip",2300,6031.0,3.43,"
                      (7 votes)
                    ","['Wildflowers/Meadows', 'Ridges/passes', 'Wildlife', 'Mountain views', 'Summits', 'Dogs allowed on leash', 'Fall foliage', 'Rivers']","
            The Teanaway is a fabulous drainage with year-round opportunities. Koppen sits on an easily accessed ridge line which lacks the crowds of many of the other hikes in this area. Commanding views of the Stuart Range, and further away, the Pacific Crest make for stunning scenery. Although this trail’s rewards are an end unto itself, it may also easily be combined with numerous other peaks, ridgelines, or drainages for longer loop trails. 
        "
https://www.wta.org/go-hiking/hikes/juanita-bay-park,Juanita Bay Park,Puget Sound and Islands -- Seattle-Tacoma Area,2.0 miles of trails,,,0.00,"
                      (0 votes)
                    ","['Wildflowers/Meadows', 'Dogs allowed on leash', 'Wildlife', 'Good for kids', 'Lakes']","
            Birdwatchers will delight in the wide variety of winded beasts to see at Juanita Bay Park. The 110-acre urban wildlife habitat area consists of five major plant communities, including wet meadow, marsh, open water and wetland. 
        "
https://www.wta.org/go-hiking/hikes/longs-pass,Longs Pass,Snoqualmie Region -- Salmon La Sac/Teanaway,"5.8 miles, roundtrip",2100,6250.0,4.25,"
                      (12 votes)
                    ","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Good for kids']","
            Longs Pass provides unbelievable views, but only after an unbelievable amount of elevation gain. In less than 3 miles, you'll climb more than 2000 feet in elevation -- that's quite like climbing a staircase for three miles. It's shady the first half, but soon comes out into an exposed area; bring as much water as you can carry!
        "
https://www.wta.org/go-hiking/hikes/sauk-mountain,Sauk Mountain,North Cascades -- North Cascades Highway - Hwy 20,"4.2 miles, roundtrip",1200,5500.0,4.33,"
                      (39 votes)
                    ","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Summits']","
            A popular trail with great views of the Sauk and Skagit river valleys, Cascade mountain peaks, and on a good clear day, the Olympics and San Juan Islands. There will also be plenty of wildflowers to please photographers and hiking plant nerds alike.
        "
https://www.wta.org/go-hiking/hikes/lake-ingalls,Lake Ingalls,Snoqualmie Region -- Salmon La Sac/Teanaway,"9.0 miles, roundtrip",2500,6500.0,4.21,"
                      (80 votes)
                    ","['Ridges/passes', 'Wildlife', 'Dogs not allowed', 'Lakes', 'Wildflowers/Meadows', 'Mountain views', 'Established campsites', 'Waterfalls', 'Fall foliage']","
            There's no question why Ingalls Lake is one of the most popular destinations in the Alpine Lakes Wilderness. It is a stunning blue lake, set high in a basin beneath rocky peaks, showcasing striking Mount Stuart as its backdrop. The trail to this treasure is filled with delights, both for the summer adventurer as well as for those hikers who appreciate fall colors. Views of the craggy Esmeralda Peaks, a walk through beautiful Headlight Basin plus a pretty picture of the imposing Stuart Range are just a few of the wonders along the way.
        "
https://www.wta.org/go-hiking/hikes/ingalls-creek,Ingalls Creek,Central Cascades -- Blewett Pass,"14.4 miles, one-way",1450,3450.0,3.65,"
                      (23 votes)
                    ","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Established campsites', 'Rivers']","
            This popular trail parallels a thunderous creek on a gentle grade, making for an excellent springtime river romp. 
        "
